HANDLE,LABEL,REASON
A_Man_of_Dust,true,"phd candidate in communication - likely qualitative research"
a_nunyola,true,"sociologist - gender studies - qualitative signals"
a9dph,false,"haematologist/immunologist - biomedical not qualitative"
AAALHG_Studies,false,"academic department account"
AAD_Edmonton,false,"school program account - sports"
aahci,false,"organization account - health center"
aaishadadipatel,false,"journalist/lecturer"
AAkbarKW,false,"data scientist"
Aalvisto,null,"phd researcher - some vague signals of qualitative"
aambastaman,false,"writer/traveler"
aananth95,false,"literary translator and publisher"
AAPhysiatrists,false,"organization account of psychiatry"
AAPsychiatry,false,"organization account - medical school"
AaronAvera,false,"school administrator - doctoral candidate - no qualitative signals"
AaronKheriatyMD,null,"physician/scholar without explicit methods mention"
aaronnak,false,"healthcare marketing"
AaronOttinger,false,"interested in literature and mathematics"
AasimirSeraph,true,"doctoral candidate researching sex education in specific population"
AAT_transcribes,false,"business accont - transcription services"
aatilow,false,"product researcher - product manager - entrepreneur"
Aayush_golu,false,"data scientist - entrepreneur"
AbalkinaAnna,null,"research integrity/misconduct investigator - may use some qualitative methods"
Abbie2020,false,"ux researcher"
abchapli_IUP,null,"acquisitions editor - gender/sexuality/refugee studies but no mention of qualitative methods"
abcsoka,false,"anatomy profesor - ceo/entrepreneur"
AbdalRameen,false,"computer scientist at corporate context"
abdullahanjari,null,"phd researcher - palestine studies - no clear mention of qualitative work"
AbdulMoiz_,false,"digital media student/professional"
AbdulnuurSheikh,false,"government official/administrator"
abdwj48,false,"professor emeritus with vague bio"
AbelliaAWardani,true,"phd student conducting ethnography on cultural diversity"
abergthaler,false,"virologist/immunologist - quantitative/wet lab"
abhinavas30,true,"doctoral candidate in sociology using ethnographic methods"
Abhisaxena3690,false,"doctoral candidate in intellectual/strategic history"
AbhiSuryawanshi,false,"data scientist - communication marketing"
AbiDeivo,true,"public health researcher - conducting research on environment and health - likely qualitative methods"
AbiSivaMD,false,"breast oncologist - clinical researcher"
abitcoinrealist,false,"bitcoin trader and photographer"
abp_carlson,false,"religious leader - no research affiliation"
AbraarKaran,null,"infectious disease doctor/epidemiologist at Standford - unclear methods"
abritez,false,"designer/developer at Microsoft - education"
Absekgobela,false,"doctoral candidate - no signal of qualitative methods"
abubakarlecture,false,"ceo of consultancy/multimedia company"
ACAAMorg,false,"institution account - academic addiction medicine"
Academic_abet,false,"academic writer - education services"
academic_geek,false,"essay writing services"
academic_la,false,"podcast host"
Academic_MedEdu,false,"educational platform/organization"
Academic_owl,false,"GP and BMA council chair - clinical role without research"
academic_ronin,false,"vague bio"
academic_slide,false,"medical student tutorial account"
academic_woman,false,"networking organization for women in academia"
AcademicAAAs,false,"coursework/homework assistance service"
AcademicApprch,false,"organization focused on test prep"
AcademicAstro,false,"astrology enthusiast"
AcademicAyesha,true,"gender-based violence - trauma therapy research - highly likely uses qualitative methods"
academiccme,false,"cme company - medical education"
AcademicDataSci,false,"education community - data science"
AcademicDiary,null,"sociology teacher at university - unclear if qualitative research"
AcademicDilemma,false,"academic coaching/mentoring service"
AcademicEmerMed,false,"journal/organization account"
AcademicFemale,false,"female doctor - no longer in academia"
AcademicFoxhole,false,"entertainer - musician"
AcademicGamer,false,"ai/ml focus with phd"
academicimpress,false,"higher education training organization"
AcademicInn,false,"educational organization"
academickeys,false,"job board and recruitment service, not individual researcher"
AcademicMinute,false,"radio program/media organization, not individual researcher"
AcademicParents,false,"advocacy/support organization, not individual researcher"
AcademicproWri1,false,"essay mill/ghostwriting service, not academic researcher"
AcademicRenewal,false,"think tank/policy organization, not individual researcher"
AcademicRevolt,false,"vague activism account, no research affiliation evident"
AcademicRugby,false,"school institutional account, not individual researcher"
AcademicSport,false,"educational institution program, not individual researcher"
AcademicToolkit,false,"unclear if conducting research or just ofering advice services"
AcademicTravel,false,"travel/tourism company, not research organization"
academicvenues,false,"conference venue service provider, not researcher"
AcadiaFaculty,false,"union/faculty association, not individual researcher"
AcadPubNews,false,"news/media organization about publishing, not individual researcher"
AcadSkillsMelb,false,"university writing support service, not individual researcher"
acadswithmair,false,"ghostwriting/academic paper mill service, not legitimate researcher"
acagamic,null,"tenured professor sharing research takes but no specific qualitative research indicators"
acaprecariat,false,"labor advocacy/union organization, not individual researcher"
ACASecretariat,false,"research organization/think tank, not individual researcher"
ACEAPAmbassador,false,"astronomy education program, not individual qualitative researcher"
AcebaldAnne,true,"physician-public health researcher studying health of justice-involved persons; qualitative focus on populations"
ACeHP1,false,"health policy think tank, not individual researcher"
ACEJointHealth,false,"science communication/health info service, not primary research organization"
acflewis,null,"bioethicist at harvard but focus on ethical/legal/social issues may be theoretical rather than empirical"
ACHE_EDU,false,"government education agency, not individual researcher"
achillebro,false,"cnrs immunologist researcher; focus is quantitative biomedical science, not qualitative human-subjects research"
acitygh,false,"university institution, not individual researcher"
ACKeshishian,null,"clinical psychology doctoral candidate; could conduct qualitative research but no specific indicators in bio"
acloudofsaints,false,"monk/religious figure, no research affiliation mentioned"
ACOREdu,false,"online radiology education program/organization, not qualitative researcher"
Acosta_Kike_,null,"demographer/sociologist studying mortality trends; may use qualitative methods but primarily quantitative field"
acrossxcultures,null,"lecturer in women's and gender studies at mit; queer + trans worlds research suggests qualitative, human-centered inquiry"
ACSAcurriculum,false,"organization account (acsa - association), not an individual"
AcylAcyl,false,"policy/geopolitics focus; former minister; no clear qualitative research methods or human-subjects work"
ad1600,null,"clinical researcher in immunotherapy; mixed signals (history/literature suggest qualitative interest, but primary focus unclear)"
ADAHPI,false,"organization account (ada health policy institute), not an individual"
adair_aaron,false,"physics education + data scientist + history/biblical scholar; quantitative and theoretical focus, not qualitative human-subjects"
adambiggs236,null,"sts scholar focused on racial justice and history of medicine; suggests qualitative, humanistic inquiry methods"
adamcarron123,null,"edtech doctoral candidate; teaching/research focus unclear if qualitative human-subjects or quantitative/tech-focused"
adamjkucharski,false,"epidemiologist/mathematician; quantitative methods primary focus"
adammackintosh,false,"songwriter/music teacher; no research affiliation or academic connection"
AdamPloszaj,false,"science policy and regional development focus; not qualitative human-subjects researcher"
adamramey,false,"political scientist/data scientist; quantitative methods emphasis, no qualitative research signals"
AdamTheRandian,false,"personal trainer; no academic or research affiliation"
AdamThierer,false,"policy analyst; not conducting qualitative human-subjects research"
adamwebthree,false,"doctoral candidate in generative ai; computational/tech focus, not qualitative research"
adanianscience,null,"ichthyologist and education researcher; biological focus with urms in stem; qualitative potential but unclear if primary methods"
ADarmouni,false,"ai engineer/data scientist; quantitative/computational focus"
AddPsychPodcast,false,"organization/podcast account, not an individual researcher"
ADELEYEKING,false,"data scientist/activist; no academic affiliation or clear research methods"
adenacb,true,"public health researcher; feminist, intersectional framing suggests qualitative population-focused work"
Adesusi_Ayoola,false,"crypto/fintech researcher; no academic or qualitative human-subjects research signals"
adetosage,false,"political economist/data scientist; no qualitative research or academic affiliation clear"
adfig,null,"higher education strategy/it consultant; research focus unclear if empirical qualitative or advisory"
AdHasse,false,"developer/data scientist/trader; no academic or research affiliation"
ADHDPedsPsych,false,"pediatric psychologist; clinical role, no indication of human-subjects research conduct"
adiahafraz,true,"edd doctoral student; narrative inquiry methodology explicitly stated; loneliness/online learning research"
Adilaaawan,true,"anthropologist and gender/public health researcher; explicitly identifies as researcher; human-centered fields"
adinashaode,null,"penn gse doctoral candidate; education focus but specific research methods/topics unclear"
ADinmohamed,false,"senior epidemiologist; population-based hemato-oncology research; quantitative epidemiology primary"
adkatrit,false,"data scientist/software engineer; no academic or qualitative research affiliation"
ADMBriggs,null,"public health policy focus; unclear if conducting qualitative human-subjects research vs policy work"
admin_emeritus,false,"administrator/graduate student; no research affiliation or methodology indicated"
AdnanNagrial,false,"clinical oncologist; clinical researcher focus, not qualitative human-subjects research"
adomakoampofo,true,"professor african & gender studies; qualitative-aligned field with likely interview/ethnography work"
adorasv,true,"phd candidate sociology & women/gender/sexuality studies; qualitative methodology field at yale"
AdrianaMorris90,false,"conference organizing company; not individual researcher, organizational account"
adriankasito,false,"statistician/data scientist; quantitative focus, no qualitative human-subjects research"
adriennedwoods,true,"senior education researcher @sri; education research with disability focus suggests qualitative methods"
AdrienneStrong,true,"medical anthropologist; maternal health ethnography explicitly mentioned; qualitative fieldwork"
ADrugResearcher,null,"drug anthropology/history focus; unclear if conducting empirical qualitative research vs theory"
advcardiohealth,false,"organization account; partnership focused on policy, not individual researcher"
ADVENTURE_LCR,false,"business support organization; not individual researcher"
advocatedeejay,true,"postdoc centre for gender and africa studies; likely qualitative human-subjects research"
AdvScientists,false,"non-profit organization account; not individual researcher"
AedesResearcher,false,"vector biology/microscopy technician; biomedical/quantitative focus, not qualitative"
aejmc_ccs,false,"academic division/organizational account; not individual researcher"
aejochim,null,"political scientist/education researcher; insufficient bio detail on methods or populations"
aetiology,false,"infectious disease epidemiologist; quantitative epidemiology focus, not qualitative"
AFAF_freespeech,false,"academic freedom advocacy organization; not individual researcher"
AFAF_QMUL,false,"university branch of advocacy group; organizational account, not individual"
Affect_Finance,false,"committee within professional association; organizational account, not individual"
Afghan_DNA,false,"ethnography/genetics project account; unclear if individual or organizational"
Afghan_Policy,false,"crisis analyst; policy focus without indication of qualitative human-subjects research"
AfHealth_Policy,false,"health policy platform; organizational account, not individual researcher"
Afigdaniel,true,"research professor nieer; early education/families research typically involves qualitative methods"
aflyingpaloma,false,"vague bio; minimal information, unclear research focus or methods"
afozsn,false,"data scientist; quantitative focus, no qualitative research indication"
Africanpolitics,null,"political science professor; insufficient detail on research methods or human-subjects focus"
afshinfarzan,false,"cardiologist/researcher; clinical/biomedical focus, not qualitative human-subjects research"
aft1521,false,"faculty union/organization; not individual researcher"
AFTHigherEd,false,"organization account representing faculty/staff union, not individual researcher"
AgAID_Institute,false,"organization/institute account focused on ai in agriculture, not individual"
agaraad,null,"researcher on state-building and security; qualitative methods unclear, may be policy/theoretical"
AgEconomist,false,"applied economist focused on quantitative economics, not qualitative human-subjects research"
AgedMatters,null,"public health researcher with equity focus; qualitative methods not explicitly stated"
AGHuff,false,"self-described author/scientist/ai specialist; no clear qualitative research focus or academic affiliation"
agilis,true,"nurse scientist studying delirium; clinical researcher with expertise in human health outcomes"
AgingBio,false,"bioinformatician/geneticist focused on quantitative biology, not qualitative human-subjects research"
agingdoc1,false,"longevity medicine clinician; no qualitative research methods or human-subjects study focus mentioned"
AgingJrnl,false,"journal account, not individual researcher"
Aglaiet,false,"self-identified 16-year-old, appears to be non-academic informal berry research"
AGORAsocjust,false,"research center/organization account, not individual researcher"
AgostinhoP_2021,null,"caribbean/dance studies scholar; could involve qualitative methods but focus unclear"
Agri_Researcher,false,"agri-environmental economist; quantitative focus, not qualitative human-subjects research"
AGSCareersandHE,false,"secondary school careers office account, not individual researcher"
agstockpicks,false,"market researcher/investor focused on securities, not academic qualitative research"
agunn,false,"vague personal account with no research affiliation or context"
ahajaricase,null,"physician-clinical researcher in ild; likely quantitative clinical focus but unclear"
AHALibCam,false,"university library account, not individual researcher"
AHERI_HigherEdu,false,"research institute organization account, not individual"
AhlamMuhtaseb,true,"media studies professor studying palestinian human rights; likely qualitative scholar-activist"
Ahmed_Makki_ali,null,"medical epidemiologist/phd candidate; quantitative epidemiology focus likely but not explicit"
AhneeMarek,null,"doctoral candidate in history/cultural studies; may involve qualitative work but unclear"
AI_Desorders,false,"psychotherapist/ai researcher; no academic affiliation or qualitative human-subjects research mention"
Ai_Immunologist,false,"computational immunology researcher; quantitative/computational methods, not qualitative"
AIHPolicy,false,"organization/institute account focused on health policy data, not individual researcher"
AIIHPC_ECRF,false,"early career forum/group account, not individual researcher"
Aimee_McAffee,true,"graduate student in media studies studying representations; qualitative communication research"
AimeeGthePHD,null,"i-o psychologist and simulation education researcher; methods unclear, possibly mixed"
aisantos,null,"education researcher on moocs/edtech; qualitative methods possible but not explicitly stated"
aivainvesting,false,"data scientist in defi/finance, not qualitative researcher or human-subjects research"
aivillage_dc,false,"organization account focused on ai security/ml, not individual qualitative researcher"
AIVOInfo,false,"organization account for nsf/usda ai institutes, not individual researcher"
AiyedunTope,null,"educationist/researcher but bio vague on methodology; climate change education unclear if qualitative fieldwork"
AJConstantini,false,"policy analyst and foreign affairs journalist, not academic qualitative researcher"
AJMC_Journal,false,"journal/media organization, not individual researcher"
ajmceachin,true,"education researcher, co-editor of education journal; education is qualitative research field"
ajumathew_,null,"cancer doctor/epidemiologist; clinical/global health role but unclear if conducts qualitative research"
aka_branderson,null,"academic integrity researcher with phd; unclear if qualitative methodology or primary field"
akaash_ARK,false,"research associate in autonomous tech/robotics at investment firm, not human-subjects qualitative research"
AkankshaThawani,false,"structural biology and genome engineering researcher, quantitative molecular focus"
AkdisCezmi,false,"immunologist scientist, basic science focus, no human-subjects qualitative research indicated"
AKellyLane,true,"phd education researcher with explicit field identification; education is qualitative research domain"
AKGreenberg,null,"former public health researcher, ceo of platform company; current role unclear on research status"
AKidNamedARoss,false,"baseball player and media studies graduate, not academic researcher"
AkosNyerges,false,"synthetic genomics and directed evolution researcher, quantitative molecular focus"
Akounfe07,false,"data scientist and forex trader, not qualitative human-subjects researcher"
akritigaur,false,"law student and fellow, not qualitative researcher in human-subjects field"
AkshatAg18,false,"law professor and doctoral candidate, legal scholar not qualitative social researcher"
akshatdoctor,false,"hematologist-oncologist kol, clinical role without qualitative research indication"
aksinghmd,false,"hematologist/oncologist, clinical role without qualitative research indication"
AkuPsychiatry,false,"psychiatry department account, organization not individual researcher"
akwiho,false,"working group on science studies/higher ed research, organization not individual"
Alan_yn_Aber,true,"principal research fellow in ethnography and ai; ethnography is qualitative methodology"
AlanaAve,false,"poet and author, not academic qualitative researcher"
alanatiemessen,null,"political science/security studies associate professor; unclear if conducts qualitative research"
AlanBryce9,false,"medical oncologist and cancer researcher, clinical/quantitative focus"
alannastuart,true,"gender studies phd student; gender studies is qualitative research field"
AlanRSmyth,false,"paediatrician clinical researcher, no indication of qualitative methodology"
AlaskaChevy,null,"alaska native public health physician researcher; health equity focus suggests possible qualitative work but unclear"
albertina_sesay,null,"public health researcher/phd candidate but bio lacks qualitative methodology indicators; epidemiology typically quantitative-primary"
albertoMCFS,null,"higher education policy researcher; unclear if empirical fieldwork or qualitative methods involved"
Albertop_p,null,"academic in gender/queer studies but primarily literature/theory focus; no empirical research indicator"
alchemeos,false,"doctoral candidate in web3/psychoanalysis; insufficient academic affiliation clarity; not target population research"
AleDemogr,false,"demographer/data visualization; quantitative-primary field without human-subjects qualitative focus"
aleenachia,null,"lecturer in media studies/digital labor; potential qualitative research but bio lacks explicit methodology/empirical fieldwork indicators"
ALefstein,true,"linguistic ethnography explicitly mentioned; classroom interaction research fits qualitative methodology profile"
alekskaminska,null,"media/material culture scholar; likely qualitative but bio lacks explicit research methodology or human-subjects focus"
alenkeric,null,"gender studies student; insufficient info on whether conducting empirical qualitative research vs theoretical work"
AleseTobi,false,"epidemiologist; quantitative-primary field without qualitative methodology indicators"
aleszubajak,false,"data scientist/journalist; quantitative data visualization focus; not qualitative researcher"
alethia_reguera,null,"border criminology/gender studies at oxford law; likely qualitative but insufficient detail on research methods"
alevelmedia,false,"organization/educational resource site, not individual researcher"
Alex_Glade,false,"curriculum facilitator/educator; no research affiliation or qualitative research indicators"
alex_gunsberg,false,"finance phd/data scientist; quantitative-primary field without human-subjects qualitative research"
alex_lercher,false,"immunologist; biomedical/quantitative research; not qualitative human-subjects researcher"
Alex_Ruani,null,"doctoral researcher in diet-health misinformation; could involve qualitative analysis but methodology unclear"
alexander_borsa,true,"sexual health researcher, phd candidate, public health sociology/feminist sts; explicit qualitative indicators with sensitive population focus"
AlexandraLong,true,"clinical psychology phd; intimate relationships/lgbtq+ health research fits qualitative human-subjects profile"
AlexandraOanca,null,"critical urban studies/anthropology researcher at ku leuven; mentions anthropology but unclear methods"
Alexandre_Erler,false,"bioethicist/philosopher; theoretical work without empirical qualitative research or human-subjects component"
alexandrianaima,null,"gender studies phd; reading/language focus suggests literary/theoretical analysis but qualitative research intent unclear"
alexcho47,null,"assistant professor in asian american studies; race/gender/sexuality studies with social media focus but no clear methods"
alexdao,false,"ux researcher in tech; industry role without academic affiliation or human-subjects research focus"
Alexey_Raksha,false,"demographer/economist; quantitative statistics specialist; not qualitative researcher"
AlexisLBeatty,null,"clinical researcher/cardiologist; digital health implementation focus unclear if qualitative methods involved"
alexkyllo,false,"data scientist; quantitative field without human-subjects qualitative research"
alexleavitt,true,"trust & safety researcher, visiting fellow at research institute; social/behavioral research on digital platforms suggests qualitative methods"
AlexMWailan,false,"bioinformatician in pathogen surveillance; computational/quantitative field; not qualitative researcher"
AlexNowrasteh,false,"policy analyst/think tank vp; policy work without academic research"
AlexRichter3,false,"clinical immunologist, no research methodology or human-subjects study mention"
alexthomas2,false,"pediatrician/allergist, media co-founder; clinical focus, not qualitative research"
AlexYablon,false,"policy analyst, no academic affiliation or research methodology"
aleyna12_3,false,"data scientist at google; quantitative focus, no human-subjects research"
AleyshaProctor,false,"doctoral candidate, author; unclear field and research methodology"
Alfdoc2,false,"medical oncologist; clinical role, no qualitative research indicated"
AlfredLMartin,null,"media studies professor/editor; possible qualitative bent but unclear if empirical research"
AlfredoRiveraOG,false,"ethnomusicology doctoral candidate; disciplinary fit but no human-subjects research clarity"
Alfs_stores,false,"alternative medicine practitioner; not academic researcher"
ALHigherEd,false,"organization account, not individual"
AliBurhanMustfa,null,"psychiatry professor; could conduct qualitative research but no explicit methodology"
alice_goisis,null,"demographer/research director on family/child health; possibly qualitative but quantitative-leaning"
alicia_agnoli,null,"primary care/public health researcher; equity focus suggests qualitative but unclear"
alidea29,false,"policy analyst and activist; no academic research affiliation"
ALiEMFac,false,"program account, not individual researcher"
ALiEMteam,false,"organization account, not individual"
AliHMokdad,false,"epidemiologist; quantitative/survey methodology focus, not qualitative"
Alina__Boy,null,"medical humanities/cultural studies postdoc; possible qualitative fit but unclear"
AlinaVdav,false,"computational psychometrics; quantitative methodology, not qualitative"
alisongemmill,null,"demographer/epidemiologist; population health focus but quantitative-primary"
AlisonHearn,false,"media studies professor/activist; unclear research focus"
AlisonHNorris,null,"public health/reproductive health researcher; could include qualitative but unspecified"
alisonldoughty,false,"healthcare/biotech advisor; no qualitative research or human-subjects methodology"
AlisonMillerPhD,true,"developmental/public health researcher on child health, family interventions, poverty"
AlisonReiheld,null,"philosopher/bioethicist; theoretical focus, unclear if empirical research"
alisyedshiraz,false,"doctoral candidate; field/topic unclear, insufficient information"
alitamjoyce,false,"ux researcher at google; industry/design methodology, not academic qualitative"
AllAcademicBB,false,"sports/athletics organization, not individual researcher"
Allan_Michel,null,"education/curriculum studies phd candidate; possible qualitative but unspecified"
AllenStStephens,false,"political science/military history professor; no qualitative human-subjects research"
allergistmommy,false,"clinical allergist/immunologist; no research or qualitative methodology mentioned."
Allergygal1,false,"clinical allergist/immunologist; awareness/advocacy role without research component."
AllianceforHEP,false,"organization account, not individual researcher."
AllianceHPSR,false,"organization account (policy/systems research org, not individual)."
allison_horst,false,"data scientist/environmental education; quantitative methods, not qualitative researcher."
AllisonBarajas,null,"doctoral candidate in instructional design; research focus unclear"
AllisonHutchiso,null,"researches communication in engineering; could involve qualitative methods but insufficient detail."
allisonplyer,false,"chief demographer; applied demographics/data analysis, not qualitative human-subjects research."
allsetanalyst,false,"crypto/blockchain analyst; not academic researcher or qualitative researcher."
allyson_nadia,null,"cinema/media studies professor; could involve qualitative analysis but no explicit research methodology stated."
allysonschwartz,false,"former congresswoman/health policy leader; advocacy/policy, not academic qualitative researcher."
alm0stadam,false,"educator/pedagogical thinker; no indication of empirical qualitative research."
AlnabhaniZ,false,"mucosal immunologist; biomedical/bench researcher, not qualitative researcher."
AlNasirBellah,null,"physician and clinical researcher; unclear if qualitative human-subjects research or clinical/quantitative work; language barrier ofuscates"
alspray,null,"public health nutrition researcher; could involve qualitative methods but insufficient detail."
AluCard655687,false,"vague/non-academic profile; no clear researcher affiliation."
ALUhawaii,false,"organization/collective account for graduate student organizing, not individual qualitative researcher."
aly_gran,false,"literary scholar teaching; theoretical humanities, not empirical qualitative researcher."
AlyceNWilson,null,"public health physician/researcher focused on equity and social justice; could involve qualitative methods."
AlyceRaybould,false,"demographer with survey management focus; quantitative fertility/demographic research."
alyse_stuart,false,"union organizer with gender studies degree; advocacy/labor organizing, not academic qualitative researcher."
alyson_moon_,false,"author/actress; creative professional, not academic qualitative researcher."
AlyssaStalsberg,false,"english phd candidate in postcolonial literature; literary theory, not qualitative human-subjects research."
alystraussMD,null,"hepatologist/health systems engineer/clinical researcher; could involve qualitative health systems work but insufficient detail."
AmaBemma,false,"literary scholar; theoretical humanities research, not qualitative human-subjects research."
amaladanabdi,null,"public health researcher; likely involves human-subjects research but insufficient detail on methodology."
AmanChauhanMD,false,"oncologist with clinical trial focus; biomedical/clinical researcher, not qualitative researcher."
AmandaHensman,false,"conservation physiology doctoral candidate; stem research, not qualitative researcher."
amandajweed,null,"could involve qualitative methods but unclear; researcher and educator"
AmandaMyersMD,false,"urologic oncologist; clinical specialist, not qualitative researcher."
AmandaNizamMD,false,"clinical oncologist focused on patient care, no research methodology or human-subjects study mention"
AmAnthroJournal,false,"journal account, not an individual researcher"
amarendrasahu,false,"doctoral candidate in engineering/startup building, no qualitative research indication"
AmazingVirus,null,"primate behavior/ecology research but unclear if qualitative methods or human-subjects work"
AmbokoJH,false,"research fellow in tax studies, policy/business focus, not qualitative human-subjects research"
AmbreenS_poet,null,"gender studies phd with poetry research; unclear if conducting empirical qualitative research vs literary theory"
AmCollPress,false,"publisher/press organization, not individual researcher"
ameliaprobst,false,"data scientist, quantitative focus, no qualitative or human-subjects research"
Ameliarator,false,"librarian with gender/disability studies interests, no indication of conducting qualitative research"
AMEWSofficial,false,"organization account for scholarly association, not individual"
amian74,null,"clinical researcher and pediatric physician; clinical focus unclear if qualitative or human-subjects research"
AmidstScience,false,"data scientist with quantitative/statistical focus, no qualitative research indication"
Amina_Mwaikambo,null,"phd candidate psychologist focusing on mental health and human rights; qualitative-aligned population research but unclear methods"
AminNassarMD,false,"oncology fellow and physician, clinical translational focus, no qualitative research"
AminuGuga,false,"geographer/surveyor/humanitarian with vague bio, no qualitative research methodology"
AmitabhCPandey,false,"cardiologist with translational/clinical research, no qualitative or human-subjects methodology"
amitpalcsingh,false,"law doctoral candidate, legal philosophy focus, not qualitative human-subjects research"
AmitVohra_CEO,false,"entrepreneur and health policy commentator, no academic research affiliation"
AmjadPeshawar,null,"postcolonial studies affiliation; unclear if conducting empirical qualitative research vs theory"
AmJNurs,false,"journal account, not individual researcher"
amnadler,null,"media studies associate professor; unclear if conducting qualitative empirical research or theory/criticism"
AmNairobian,false,"vague bio with no research indication"
Amolpatel_dr,false,"medical oncologist, clinical focus, no qualitative research"
AmosKipronohC,false,"economist and development expert, quantitative/policy focus, not qualitative research"
amrcampop,false,"historical demographer, quantitative/computational methods focus, not qualitative research"
amurphykarabell,true,"special education phd student and researcher; qualitative-aligned education research on reading/special populations"
amy_carleton,false,"comparative media studies instructor, writer; no indication of conducting qualitative human-subjects research"
Amy_L_Haywood,null,"education researcher/former teacher; unclear if conducting qualitative research or policy analysis"
AmyClarke92,null,"historian researching gender/transgressive topics; unclear if conducting qualitative empirical work vs historical scholarship"
AmyHeger,null,"ux researcher with social psychology background; human-centered but unclear if academic qualitative research"
amyjvassallo,null,"public health researcher but bio lacks specific qualitative methodology or human-subjects research details"
amymaxmen,false,"science journalist/reporter, not conducting qualitative research"
amyrbrennan,false,"education administrator/teacher, no research affiliation or qualitative research mention"
anadelicado3,null,"sts researcher but unclear if conducting empirical human-subjects fieldwork vs theoretical work"
analysisoffleek,null,"media studies professor but no research focus mentioned"
anam_horvat,null,"media studies scholar studying lgbtq topics but methodology unclear - could be textual/theoretical"
anand_iimc,false,"tech/it certifications focus, no qualitative research or academic research affiliation evident"
AnaOnAPlanet,false,"exoplanet researcher - quantitative stem field, not qualitative social/human research"
anarchyinblack,false,"political/economic commentary, no academic research affiliation or qualitative research focus"
anasiangay,false,"vague bio about films/series; insufficient information to confirm qualitative research"
AnaVManana,false,"medical oncologist with clinical trial access focus; primarily clinical role, limited research evidence"
AndAlbanian,false,"organization/collection account, not individual researcher"
AndandeKelvin,false,"advertising/marketing agency account, not academic qualitative researcher"
AndPsychiatry,false,"organization account focused on psychiatry education, not individual researcher"
AndreaChello,false,"tech/data science professional, not qualitative researcher in academic setting"
andrealeepress,null,"media studies & sociology professor, scholar-activist with feminist framework - matches profile field but not clear if researcher"
AndreaShin_GI,null,"clinical researcher at ucla but focus on biomedical/microbiome - quantitative/clinical emphasis unclear"
andrepacher,false,"meta-science and diplomatic studies interest but vague bio; no mention of being a researcher"
andrew_chater,null,"arctic politics phd but methodology unclear; could be qualitative or quantitative international relations"
andrew02114,false,"medical oncologist - primarily clinical role focused on patient care and trials"
andrewbostom,false,"retired epidemiologist/clinical trialist with historical research"
andrewdlugg,false,"political science phd in ir/ipe but methodology (qualitative vs quantitative) not specified; no research mention"
AndrewPulford,null,"public health researcher on inequalities but no explicit qualitative methodology mentioned"
Andreza_Aruska,true,"political ethnography researcher studying inequality & local governance - explicit ethnographic methodology with human-centered focus"
andrikos,null,"interaction design/hci professor - could involve qualitative ux research but insufficient detail"
AndyFilak,false,"family medicine doctor, no research affiliation mentioned"
